www.google.com	www.baidu.com
www.bing.com	www.huawei.com
www.google.com	www.stackoverflow.com
www.ctriple.cn	www.wikipedia.org
www.gnu.org	www.apache.org
www.taobao.com	www.jd.com
www.dmall.com	www.ctriple.cn
www.wikipedia.org	www.quora.com
www.disney.com		www.msn.cn
www.lenovo.com		www.intel.com
www.kernel.org		www.ubuntu.com
www.ubuntu.com		www.suse.com
www.suse.com		www.redhat.com
www.redhat.com		www.kernel.org
www.scm.org		www.kernel.org
www.auctex.org		www.latex.org
www.spacemacs.org	www.github.com
www.github.com		www.apache.com
www.github.com		spark.apache.org
www.apache.org		www.nginx.org
www.ntcn.org		www.css.com
